order,name,count,price,cost
1,"Натрия хлорид 0,9%, 200 мл, фл",2.0,154.0,"308,00"
2,"Борный спирт 3%, 20 мл, фл.",1.0,51.0,"51,00"
3,"Шприц 2 мл, 3-х комп. (Bioject)",2.0,16.0,"32,00"
4,Система для инфузии Vogt Medical,2.0,60.0,"120,00"
5,Naturella прокладки Классик макси №8,1.0,310.0,"310,00"
6,AURA Ватные диски №150,1.0,461.0,"461,00"
7,Чистая линия скраб мягкий 50 мл,1.0,381.0,"381,00"
8,Чистая линия  скраб очищающийабрикос 50 мл,1.0,386.0,"386,00"
9,Чистая линия скраб мягкий 50 мл,1.0,381.0,"381,00"
10,Carefree салфетки Алоэвоздухопроницаемые №20,1.0,414.0,"414,00"
11,Pro Series Шампунь яркий цвет 500мл,1.0,841.0,"841,00"
12,Pro Series бальзам-ополаскивательдля длител ухода за окрашеннымиволосами Яркий цвет 500мл,1.0,841.0,"841,00"
13,Clear шампунь Актив спорт 2в1мужской  400 мл,1.0,1200.0,"1 200,00"
14,"Bio World (HYDRO THERAPY)Мицеллярная вода 5в1, 445мл",1.0,1152.0,"1 152,00"
15,"Bio World (HYDRO THERAPY) Гель-муссдля умывания с гиалуроновойкислотой, 250мл",1.0,1152.0,"1 152,00"
16,"[RX]-Натрия хлорид 0,9%, 100 мл, фл.",1.0,168.0,"168,00"
17,"[RX]-Дисоль р-р 400 мл, фл.",1.0,163.0,"163,00"
18,"Тагансорбент с иономи серебра №30,пор.",1.0,1526.0,"1 526,00"
19,"[RX]-Церукал 2%, 2 мл, №10, амп.",2.0,396.0,"792,00"
20,"[RX]-Андазол 200 мг, №40, табл.",1.0,7330.0,"7 330,00"
